Datetime,Actual,Predicted,Residual,z_roll,iso_score,resid_rz,roll_anom,iso_anom,resid_anom,z_anom,iqr_anom,methods_agree,severity,is_anomaly,direction,flagged_by,hour,weekday
2010-04-18 18:00:00,1.2979,1.3079,-0.0101,,,0.4149,False,False,False,False,False,0,none,False,lower,,18,Sunday
2010-04-18 19:00:00,1.6654,1.6667,-0.0013,,,0.9281,False,False,False,False,False,0,none,False,lower,,19,Sunday
2010-04-18 20:00:00,1.8226,1.832,-0.0095,,,0.4506,False,False,False,False,False,0,none,False,lower,,20,Sunday
2010-04-18 21:00:00,2.1953,2.2144,-0.0191,,,-0.1131,False,False,False,False,False,0,none,False,lower,,21,Sunday
2010-04-18 22:00:00,1.1288,1.1612,-0.0324,,,-0.8866,False,False,False,False,False,0,none,False,lower,,22,Sunday
2010-04-18 23:00:00,0.5014,0.5172,-0.0158,,,0.0821,False,False,False,False,False,0,none,False,lower,,23,Sunday
2010-04-19 00:00:00,0.3788,0.3931,-0.0143,,,0.1705,False,False,False,False,False,0,none,False,lower,,0,Monday
2010-04-19 01:00:00,0.3616,0.3764,-0.0148,,,0.1414,False,False,False,False,False,0,none,False,lower,,1,Monday
2010-04-19 02:00:00,0.4413,0.4556,-0.0144,,,0.1635,False,False,False,False,False,0,none,False,lower,,2,Monday
2010-04-19 03:00:00,0.3892,0.4016,-0.0124,,,0.2769,False,False,False,False,False,0,none,False,lower,,3,Monday
2010-04-19 04:00:00,0.3544,0.3658,-0.0113,,,0.3402,False,False,False,False,False,0,none,False,lower,,4,Monday
2010-04-19 05:00:00,0.3193,0.3335,-0.0142,,0.2031,0.171,False,False,False,False,False,0,none,False,lower,,5,Monday
2010-04-19 06:00:00,1.0651,1.0735,-0.0084,,0.1613,0.5102,False,False,False,False,False,0,none,False,lower,,6,Monday
2010-04-19 07:00:00,0.58,0.6195,-0.0394,,0.176,-1.2965,False,False,False,False,False,0,none,False,lower,,7,Monday
2010-04-19 08:00:00,0.3746,0.381,-0.0064,,0.1889,0.6294,False,False,False,False,False,0,none,False,lower,,8,Monday
2010-04-19 09:00:00,1.0736,1.0876,-0.014,,0.1652,0.1827,False,False,False,False,False,0,none,False,lower,,9,Monday
2010-04-19 10:00:00,2.2938,2.2916,0.0022,,0.0767,1.129,False,False,False,False,False,0,none,False,higher,,10,Monday
2010-04-19 11:00:00,1.7983,1.8115,-0.0133,,0.1524,0.2277,False,False,False,False,False,0,none,False,lower,,11,Monday
2010-04-19 12:00:00,1.6997,1.7105,-0.0108,,0.1706,0.3732,False,False,False,False,False,0,none,False,lower,,12,Monday
2010-04-19 13:00:00,1.5137,1.5163,-0.0026,,0.1836,0.8509,False,False,False,False,False,0,none,False,lower,,13,Monday
2010-04-19 14:00:00,1.4145,1.427,-0.0125,,0.1815,0.2737,False,False,False,False,False,0,none,False,lower,,14,Monday
2010-04-19 15:00:00,1.451,1.4641,-0.0131,,0.1812,0.2376,False,False,False,False,False,0,none,False,lower,,15,Monday
2010-04-19 16:00:00,1.4737,1.4848,-0.0112,,0.1784,0.3509,False,False,False,False,False,0,none,False,lower,,16,Monday
